sample_id,input_token_count,output_token_count,total_output_rows,threshold,high_abs_diff_count,high_abs_diff_ratio,max_abs_logprob_diff
6acbef27347eccd07c24,580,1,1,1.0,0,0.0,0.2108926773071289
7fd7e84c47c07f201203,568,1,1,1.0,0,0.0,0.010129481554031372
4c4f4baf4e046e758479,568,1,1,1.0,0,0.0,0.0648237019777298
5d64b2baf04953769267,568,1,1,1.0,0,0.0,0.03213004767894745
89cce66da1b940027e04,533,1,1,1.0,0,0.0,0.169782817363739
46fb24dbcef75f627480,530,1,1,1.0,0,0.0,0.03598135709762573
24885d628a21faf5da2e,526,1,1,1.0,0,0.0,0.04952704906463623
e943331ec9c151e75ca0,526,1,1,1.0,0,0.0,0.0017850995063781738
9931c4a5c4ecb1504a26,526,1,1,1.0,0,0.0,0.06463801860809326
127949883dbe82e96510,154,128,128,1.0,0,0.0,0.35643136501312256
7fc84cfa5f84c9243cd0,154,128,128,1.0,0,0.0,0.44300246238708496
f38a2468494a6f425aeb,154,128,128,1.0,0,0.0,0.26604992151260376
deac53e4c4eed71e15c7,153,128,128,1.0,0,0.0,0.4989982843399048
1d61f99a7cea7847043a,151,128,128,1.0,0,0.0,0.2119571566581726
ae18eb3ef38364a72177,151,128,128,1.0,0,0.0,0.32158195972442627
f400d08071f93553a17e,150,128,128,1.0,0,0.0,0.37491118907928467
4dfde89039b9f1884bb5,149,128,128,1.0,0,0.0,0.06447291374206543
2c0557260880c3f444f7,149,128,128,1.0,0,0.0,0.9159562010318041
a7db88d1d36b0d32f1fe,148,128,128,1.0,0,0.0,0.49458980560302734
fae20e539be49390c497,148,128,128,1.0,0,0.0,0.34935665130615234
8a8930f458afc16f1aeb,147,128,128,1.0,0,0.0,0.5453879237174988
df1ae758c63b2eba25b6,146,128,128,1.0,0,0.0,0.26530778408050537
31b2823ed21b494473c6,146,128,128,1.0,0,0.0,0.21253955364227295
6c82476bd3ee46b06d06,145,128,128,1.0,0,0.0,0.22011852264404297
f5bcada5dcb51b67ec63,142,128,128,1.0,0,0.0,0.24376600980758667
254d4e083f1f3af7315e,141,128,128,1.0,0,0.0,0.44979822635650635
8b6644e969904471b868,140,128,128,1.0,0,0.0,0.2434421181678772
c4062c562891d02435ca,140,128,128,1.0,0,0.0,0.4847303032875061
6daffa590383c25fcd17,139,128,128,1.0,0,0.0,0.1877174973487854
91589a2236c99c809d29,138,128,128,1.0,0,0.0,0.16601288318634033
668ec3c1c15cb02a4375,138,128,128,1.0,0,0.0,0.8903504386544228
3d696aea5e90940f0f85,138,128,128,1.0,0,0.0,0.23600971698760986
89c657cee2d0f5ecd548,138,128,128,1.0,0,0.0,0.38770776987075806
4c9209ac66e76ca9790d,138,128,128,1.0,0,0.0,0.385809063911438
b02a6fd30fe4573366fc,137,128,128,1.0,0,0.0,0.4138367176055908
1b720995044d47655d3a,134,128,128,1.0,0,0.0,0.26590436697006226
078441dc63cb2e4b07bd,134,128,128,1.0,0,0.0,0.27072930335998535
0c7a3248234f94699a83,122,128,128,1.0,0,0.0,0.19450229406356812
f30ea4e58acf7b58a81a,122,128,128,1.0,0,0.0,0.7359941005706787
56850111c3b4ff2ddf28,140,99,99,1.0,0,0.0,0.298088014125824
f30e6072f963aa16e457,40,128,128,1.0,0,0.0,0.40576064586639404
0aa6cfc00ab1dd402f7e,39,128,128,1.0,0,0.0,0.24778389930725098
996641191bc8907bbda6,39,128,128,1.0,0,0.0,0.18232250213623047
1757a5dbdeca60120661,39,128,128,1.0,0,0.0,0.3913554549217224
3d3cd44da6c8d94f2172,39,128,128,1.0,0,0.0,0.3911610245704651
8f69f039471770707b7e,39,128,128,1.0,0,0.0,0.2732008695602417
f7b04a9eb798f66c1982,39,128,128,1.0,0,0.0,0.17470109462738037
4418047bdabefce010fe,39,128,128,1.0,0,0.0,0.35175833106040955
08a516ed65ded1d98939,39,128,128,1.0,0,0.0,0.16922831535339355
4b1e71db3e319a78014b,39,128,128,1.0,0,0.0,0.20746493339538574
20d8dd0b65d5c0071954,38,128,128,1.0,0,0.0,0.18208777904510498
fad7a7bed044b720b4b1,38,128,128,1.0,0,0.0,0.2775646448135376
00948d836971f053bbf9,38,128,128,1.0,0,0.0,0.3365859389305115
427558f1540f9f15a1d6,38,128,128,1.0,0,0.0,0.2449740767478943
c09cc454c37cd68fb6d9,38,128,128,1.0,0,0.0,0.39700591564178467
0a1d8a7c087c9dc3d2cd,38,128,128,1.0,0,0.0,0.3226701617240906
29f2b9019a91ff75122a,38,128,128,1.0,0,0.0,0.16326957941055298
f3007c807c021e4181b1,38,128,128,1.0,0,0.0,0.34206289052963257
7be132b0daecc07a766e,37,128,128,1.0,0,0.0,0.5305521488189697
7c3ada951af1fb924874,37,128,128,1.0,0,0.0,0.2741376757621765
e5ffaee275e5ce46097d,34,128,128,1.0,0,0.0,0.17940419912338257
7a613643598c07a5fd54,33,128,128,1.0,0,0.0,0.1271876096725464
b50e0e831fd0bd10c726,33,128,128,1.0,0,0.0,0.30688250064849854
f2ec140de4bf39a8be01,33,128,128,1.0,0,0.0,0.49303293228149414
c0e27e693b032f42297d,33,128,128,1.0,0,0.0,0.3352397084236145
8039923b9c867d3902cb,33,128,128,1.0,0,0.0,0.24733197689056396
8ad829c001ab9d0b65a4,33,128,128,1.0,0,0.0,0.3514155149459839
2f98a6a94b0c75d8837b,33,128,128,1.0,0,0.0,0.18410468101501465
87b1b04483edc612ca02,33,128,128,1.0,0,0.0,0.19849205017089844
59428fed598f61849689,33,128,128,1.0,0,0.0,0.39196014404296875
de6558a7fee68d77a77e,33,128,128,1.0,0,0.0,0.3827677369117737
b89bd85ff4224e2713fa,33,128,128,1.0,0,0.0,0.15070736408233643
c36ab0f8ca7e28a29d4d,33,128,128,1.0,0,0.0,0.21894556283950806
1e35a89febc387eef2a6,33,128,128,1.0,0,0.0,0.13513225317001343
cbc17d7de4f012a625be,33,128,128,1.0,0,0.0,0.5305038690567017
20a465f9da5b00918b47,33,128,128,1.0,0,0.0,0.2331586480140686
58fa31051707ef2cb0c9,33,128,128,1.0,0,0.0,0.3581887483596802
dd6fb356579d9e180ee8,33,128,128,1.0,0,0.0,0.297137051820755
1cb99752774e0cb75bcd,33,128,128,1.0,0,0.0,0.23830264806747437
4bc38e4951d5c195ad83,33,128,128,1.0,0,0.0,0.16890323162078857
a9b33a97d1e88d15b4a3,33,128,128,1.0,0,0.0,0.1495223045349121
72bd5bcb55602acf77d2,33,128,128,1.0,0,0.0,0.15884488821029663
76cfc0629d2bad7c20fb,33,128,128,1.0,0,0.0,0.2797123193740845
e1106e26e88b26e43da4,33,128,128,1.0,0,0.0,0.3467893898487091
4362be0e95f2264e40d3,33,128,128,1.0,0,0.0,0.15624400973320007
b204a181e3e00826a19e,32,128,128,1.0,0,0.0,0.16011834144592285
7086e023532b893d4bae,32,128,128,1.0,0,0.0,0.25447285175323486
8896c20ee2df2e8b3133,32,128,128,1.0,0,0.0,0.35572218894958496
947789fbb93449f1b608,159,1,1,1.0,0,0.0,0.0679643452167511
0848a18636674f51559d,159,1,1,1.0,0,0.0,0.015138447284698486
10ec405176db694e80fc,149,1,1,1.0,0,0.0,0.031859397888183594
9d0138a8e3e579ef5d0a,149,1,1,1.0,0,0.0,0.026306986808776855
ff2d36168a506c775b7f,142,1,1,1.0,0,0.0,0.04148554801940918
92700be4ef3a5fb144b6,32,80,80,1.0,0,0.0,0.175994873046875
0b78fd794493c2fce383,32,49,49,1.0,0,0.0,0.30509889125823975
